# This file is generated on 06-Dec-2021 at 11:29:41 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 7.0000e+01, -7.4407e-02
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 8.0000e+01, -1.0506e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 9.9990e+01, -1.5733e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 5.0000e-04, 2.4111e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.0000e-03, 2.1625e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 3.0000e-03, 1.8154e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 5.0000e-03, 1.6717e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.0000e-02, 1.4927e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.6000e-02, 1.3808e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 2.7000e-02, 1.2643e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 4.5000e-02, 1.1580e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 7.7000e-02, 1.0532e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.3000e-01, 9.5710e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 2.1000e-01, 8.7350e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 3.5000e-01, 7.8831e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 6.0000e-01, 7.0185e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 9.5000e-01, 6.3020e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.7000e+00, 5.4119e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 3.0000e+00, 4.5508e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 5.1000e+00, 3.7431e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 8.3000e+00, 2.9908e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.2000e+01, 2.4099e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.9000e+01, 1.6667e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 3.0000e+01, 9.0153e-02
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 4.0000e+01, 4.0335e-02
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 5.0000e+01, 7.1369e-04
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 6.0000e+01, -3.2347e-02
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 7.0000e+01, -6.0812e-02
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 8.0000e+01, -8.5868e-02
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 9.9990e+01, -1.2859e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 5.0000e-04, 2.0449e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.0000e-03, 1.8340e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 3.0000e-03, 1.5397e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 5.0000e-03, 1.4178e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.0000e-02, 1.2659e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.6000e-02, 1.1710e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 2.7000e-02, 1.0723e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 4.5000e-02, 9.8212e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 7.7000e-02, 8.9327e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.3000e-01, 8.1173e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 2.1000e-01, 7.4083e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 3.5000e-01, 6.6858e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 6.0000e-01, 5.9525e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 9.5000e-01, 5.3448e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.7000e+00, 4.5899e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 3.0000e+00, 3.8596e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 5.1000e+00, 3.1745e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 8.3000e+00, 2.5365e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.2000e+01, 2.0439e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.9000e+01, 1.4136e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 3.0000e+01, 7.6460e-02
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 4.0000e+01, 3.4208e-02
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 5.0000e+01, 6.0529e-04
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 6.0000e+01, -2.7434e-02
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 7.0000e+01, -5.1575e-02
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 8.0000e+01, -7.2826e-02
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 9.9990e+01, -1.0906e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 5.0000e-04, 1.7836e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.0000e-03, 1.5997e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 3.0000e-03, 1.3429e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 5.0000e-03, 1.2366e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.0000e-02, 1.1042e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.6000e-02, 1.0214e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 2.7000e-02, 9.3525e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 4.5000e-02, 8.5663e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 7.7000e-02, 7.7913e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.3000e-01, 7.0801e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 2.1000e-01, 6.4617e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 3.5000e-01, 5.8315e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 6.0000e-01, 5.1919e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 9.5000e-01, 4.6619e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.7000e+00, 4.0034e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 3.0000e+00, 3.3664e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 5.1000e+00, 2.7689e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 8.3000e+00, 2.2124e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.2000e+01, 1.7827e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.9000e+01, 1.2330e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 3.0000e+01, 6.6691e-02
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 4.0000e+01, 2.9837e-02
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 5.0000e+01, 5.2795e-04
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 6.0000e+01, -2.3928e-02
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 7.0000e+01, -4.4985e-02
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 8.0000e+01, -6.3520e-02
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 9.9990e+01, -9.5122e-02
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 5.0000e-04, 1.5907e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.0000e-03, 1.4267e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 3.0000e-03, 1.1977e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 5.0000e-03, 1.1029e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.0000e-02, 9.8479e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.6000e-02, 9.1096e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 2.7000e-02, 8.3411e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 4.5000e-02, 7.6399e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 7.7000e-02, 6.9488e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.3000e-01, 6.3145e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 2.1000e-01, 5.7630e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 3.5000e-01, 5.2009e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 6.0000e-01, 4.6305e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 9.5000e-01, 4.1578e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.7000e+00, 3.5705e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 3.0000e+00, 3.0024e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 5.1000e+00, 2.4695e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 8.3000e+00, 1.9732e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.2000e+01, 1.5899e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.9000e+01, 1.0996e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 3.0000e+01, 5.9479e-02
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 4.0000e+01, 2.6611e-02
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 5.0000e+01, 4.7086e-04
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 6.0000e+01, -2.1341e-02
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 7.0000e+01, -4.0121e-02
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 8.0000e+01, -5.6652e-02
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 9.9990e+01, -8.4836e-02
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 5.0000e-04, 1.4450e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 1.0000e-03, 1.2960e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 3.0000e-03, 1.0880e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 5.0000e-03, 1.0019e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 1.0000e-02, 8.9458e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 1.6000e-02, 8.2751e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 2.7000e-02, 7.5771e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 4.5000e-02, 6.9401e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 7.7000e-02, 6.3123e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 1.3000e-01, 5.7361e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 2.1000e-01, 5.2351e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 3.5000e-01, 4.7245e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 6.0000e-01, 4.2063e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 9.5000e-01, 3.7769e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 1.7000e+00, 3.2434e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 3.0000e+00, 2.7274e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 5.1000e+00, 2.2433e-01
