# This file is generated on 06-Dec-2021 at 11:45:48 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_comb (dB)
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.2000e+01, 3.0492e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.9000e+01, 2.2200e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 3.0000e+01, 1.5472e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 4.0000e+01, 1.2987e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 5.0000e+01, 1.1219e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 6.0000e+01, 1.0588e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 7.0000e+01, 1.0327e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 8.0000e+01, 1.0185e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 9.0000e+01, 1.0127e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 9.9990e+01, 1.0126e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 5.0000e-04, 9.8350e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.0000e-03, 8.8841e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 3.0000e-03, 7.1286e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 5.0000e-03, 6.2846e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.0000e-02, 5.1790e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.6000e-02, 4.4806e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 2.7000e-02, 3.7694e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 4.5000e-02, 3.1523e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 7.7000e-02, 2.5907e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.3000e-01, 2.1157e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 2.1000e-01, 1.7392e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 3.5000e-01, 1.4014e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 6.0000e-01, 1.1070e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 9.5000e-01, 9.0584e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.7000e+00, 6.9474e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 3.0000e+00, 5.3496e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 5.1000e+00, 4.1055e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 8.3000e+00, 3.1519e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.2000e+01, 2.5265e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.9000e+01, 1.8361e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 3.0000e+01, 1.2786e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 4.0000e+01, 1.0717e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 5.0000e+01, 9.2493e-01
