FREQUENCY,ELEVATION,PROBABILITY,ATTENUATION
7.5000e+01, 9.0000e+01, 3.5000e-01, 1.8936e+01
7.5000e+01, 9.0000e+01, 6.0000e-01, 1.4945e+01
7.5000e+01, 9.0000e+01, 9.5000e-01, 1.2203e+01
7.5000e+01, 9.0000e+01, 1.7000e+00, 9.3226e+00
7.5000e+01, 9.0000e+01, 3.0000e+00, 7.1390e+00
7.5000e+01, 9.0000e+01, 5.1000e+00, 5.4460e+00
7.5000e+01, 9.0000e+01, 8.3000e+00, 4.1545e+00
7.5000e+01, 9.0000e+01, 1.2000e+01, 3.3124e+00
7.5000e+01, 9.0000e+01, 1.9000e+01, 2.3888e+00
7.5000e+01, 9.0000e+01, 3.0000e+01, 1.6475e+00
7.5000e+01, 9.0000e+01, 4.0000e+01, 1.3708e+00
7.5000e+01, 9.0000e+01, 5.0000e+01, 1.1744e+00
7.5000e+01, 9.0000e+01, 6.0000e+01, 1.0961e+00
7.5000e+01, 9.0000e+01, 7.0000e+01, 1.0542e+00
7.5000e+01, 9.0000e+01, 8.0000e+01, 1.0222e+00
7.5000e+01, 9.0000e+01, 9.9990e+01, 9.7611e-01
